team,archetype,ppda,possession_pct,pass_directness,defensive_line_height,dribbles_per90,counter_attack_speed,progressive_passes_per90,crosses_per90,shots_open_play_pct,high_turnovers_per90,rank_ppda,rank_possession_pct,rank_pass_directness,rank_defensive_line_height,rank_dribbles_per90,rank_counter_attack_speed,rank_progressive_passes_per90,rank_crosses_per90,rank_shots_open_play_pct,rank_high_turnovers_per90
Scotland,Wing-Play Focused,2.2334,44.8118,0.1917,0.2322,25.098,11.471,211.4241,24.0028,100.0,18.415,8,38,50,58,39,54,48,54,59,31
Senegal,Direct Long-Ball,3.0894,46.0157,0.1877,0.2112,23.03,,181.7171,18.9384,93.0769,19.9028,32,39,48,38,31,62,26,38,23,37
Serbia,Wing-Play Focused,2.4035,50.9396,0.1766,0.2045,13.0146,7.901,196.562,23.6157,100.0,15.1511,13,46,36,32,1,24,38,52,59,15
Sevilla,Wing-Play Focused,2.5603,42.4439,0.1738,0.1949,21.0688,9.0464,188.4903,24.7735,97.7679,18.3886,21,27,30,22,23,33,33,55,49,30
Slovakia,Individual Flair,3.1303,43.7367,0.127,0.1851,23.3645,11.0667,152.5815,8.8737,100.0,11.9664,34,33,1,8,33,51,7,3,59,5
South Korea,Wing-Play Focused,2.6157,48.3354,0.1806,0.1928,18.1057,7.839,208.273,21.3319,96.7262,20.4855,23,43,42,18,9,23,45,44,45,41
Spain,High-Press Possession,1.4431,73.1844,0.1736,0.2528,31.9717,5.999,326.6672,31.4182,89.8658,26.7385,1,64,29,64,59,9,64,63,13,59
Sweden,Deep-Block Counter,3.8191,35.0417,0.2035,0.1837,21.6129,2.282,187.7842,14.5611,96.1538,24.2821,57,13,59,4,26,2,31,12,42,55
Switzerland,Direct Long-Ball,3.2102,47.5106,0.1672,0.1994,17.0992,7.9072,198.3925,17.0915,90.3811,20.4069,37,41,22,26,6,25,40,23,16,40
Tunisia,Wing-Play Focused,3.2824,44.63,0.2017,0.2129,22.7064,8.74,196.6948,18.8682,100.0,28.5437,40,36,57,43,30,32,39,36,59,63
Turkey,Deep-Block Counter,1.9238,48.4909,0.1458,0.1847,23.1605,7.818,176.594,17.3784,100.0,10.3427,3,44,6,7,32,21,22,25,59,2
Ukraine,Individual Flair,3.6119,47.7274,0.1287,0.2084,17.2932,12.3652,170.9309,16.096,95.1373,19.5709,50,42,2,36,7,58,19,19,36,35
United States,Wing-Play Focused,2.5999,54.2716,0.1735,0.2193,23.8689,10.848,205.3576,23.339,97.9167,25.1066,22,54,28,49,34,50,43,50,50,58
Uruguay,Wing-Play Focused,2.8206,46.3462,0.188,0.2117,18.8335,6.866,200.394,19.8984,97.2222,20.3938,28,40,49,41,11,12,42,40,46,39
Valencia,Deep-Block Counter,3.6716,29.7019,0.1754,0.1844,17.0259,7.702,150.8576,15.1118,94.4231,8.2748,53,6,32,6,5,19,6,14,30,1
Villarreal,Individual Flair,3.6337,39.6094,0.1769,0.1894,26.4568,12.0353,175.5899,17.4703,97.5694,15.5781,51,23,38,13,45,57,21,27,48,18
Wales,Deep-Block Counter,3.3864,41.5013,0.1781,0.1854,16.2802,5.268,161.6024,17.907,95.0255,17.8087,45,24,39,9,4,6,14,31,35,26
